College_Name,Location,Fees,College_URL
"Vydehi Group of Institution, Bangalore","Bangalore, Karnataka","₹ 80,000",https://collegedunia.com/college/64845-vydehi-group-of-institution-bangalore
"Assam down town University - [ADTU], Guwahati","Guwahati, Assam","₹ 3,80,000",https://collegedunia.com/university/25391-assam-down-town-university-adtu-guwahati
"Mangalore College of Nursing, Mangalore","Mangalore, Karnataka","₹ 2,80,000",https://collegedunia.com/college/64725-mangalore-college-of-nursing-mangalore
"NIMS University, Jaipur","Jaipur, Rajasthan","₹ 3,60,000",https://collegedunia.com/university/25833-nims-university-jaipur
"Exalt Group of Institutions, Patna","Patna, Bihar","₹ 2,50,000",https://collegedunia.com/college/62439-exalt-group-of-institutions-patna
"Malabar Cancer Centre, Thalasery","Thalasery, Kerala","₹ 2,50,000",https://collegedunia.com/college/64629-malabar-cancer-centre-thalasery
"ITM University, Gwalior","Gwalior, Madhya Pradesh","₹ 2,40,000",https://collegedunia.com/university/25668-itm-university-gwalior
"M.S. Ramaiah University of Applied Sciences - [MSRUAS], Bangalore","Bangalore, Karnataka","₹ 2,40,000",https://collegedunia.com/university/54840-ms-ramaiah-university-of-applied-sciences-msruas-bangalore
"Amrita Vishwa Vidyapeetham Kochi Campus, Kochi","Kochi, Kerala","₹ 2,74,110",https://collegedunia.com/university/25636-amrita-vishwa-vidyapeetham-kochi-campus-kochi
"GD Goenka University - [GDGU], Gurgaon","Gurgaon, Haryana","₹ 2,55,000",https://collegedunia.com/university/25526-gd-goenka-university-gdgu-gurgaon
"Yenepoya University, Mangalore","Mangalore, Karnataka","₹ 3,81,000",https://collegedunia.com/university/25634-yenepoya-university-mangalore
"Ebenezer Group of Institutions, Bangalore","Bangalore, Karnataka","₹ 3,25,000",https://collegedunia.com/college/60284-ebenezer-group-of-institutions-bangalore
"Kingston Imperial Institute of Medical Science - [KIIMS], Dehradun","Dehradun, Uttarakhand","₹ 2,25,000",https://collegedunia.com/college/62695-kingston-imperial-institute-of-medical-science-kiims-dehradun
"Rama Devi Nursing Institute, Bardhaman","Bardhaman, West Bengal","₹ 8,64,000",https://collegedunia.com/college/63893-rama-devi-nursing-institute-bardhaman
"Biyani Group of Colleges, Jaipur","Jaipur, Rajasthan","₹ 2,15,500",https://collegedunia.com/college/63726-biyani-group-of-colleges-jaipur
"Manipal Academy of Higher Education - [MAHE], Manipal","Manipal, Karnataka","₹ 8,47,000",https://collegedunia.com/university/25617-manipal-academy-of-higher-education-mahe-manipal
"Dev Bhoomi Uttarakhand University - [DBUU], Dehradun","Dehradun, Uttarakhand","₹ 80,000",https://collegedunia.com/university/63221-dev-bhoomi-uttarakhand-university-dbuu-dehradun
"Sharda University, Greater Noida","Greater Noida, Uttar Pradesh","₹ 2,00,000",https://collegedunia.com/university/25972-sharda-university-greater-noida
"Kailash Institute of Nursing and Paramedical Sciences, Greater Noida","Greater Noida, Uttar Pradesh","₹ 2,25,000",https://collegedunia.com/college/6885-kailash-institute-of-nursing-and-paramedical-sciences-greater-noida
"Sanskriti University - [SU], Mathura","Mathura, Uttar Pradesh","₹ 2,00,000",https://collegedunia.com/university/57227-sanskriti-university-su-mathura
"Shri Sai College of Nursing Paramedical - [SSCONP], Patna","Patna, Bihar","₹ 8,00,000",https://collegedunia.com/college/61113-shri-sai-college-of-nursing-paramedical-ssconp-patna
"Bhavya Shree Institute of Nursing - [BNRC], Patna","Patna, Bihar","₹ 8,00,000",https://collegedunia.com/college/62348-bhavya-shree-institute-of-nursing-bnrc-patna
"Edugree, Siliguri","Siliguri, West Bengal","₹ 8,00,000",https://collegedunia.com/college/63894-edugree-siliguri
"Sundaram Institute Of Nursing Training, Patna","Patna, Bihar","₹ 8,00,000",https://collegedunia.com/college/64529-sundaram-institute-of-nursing-training-patna
